,clust,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount
0,0,56274,69,32,5,0,1,384.811147
1,2,0,94,13,42,0,8,1131.464935
2,0,48767,108,18,38,0,2,566.472247
3,2,0,106,18,65,0,7,529.881344
4,0,43836,73,12,44,0,1,138.130879
5,0,62902,69,14,94,0,2,159.383042
6,2,55350,67,0,13,0,9,321.6
7,0,0,101,0,68,0,4,363.02968
8,0,14072,71,13,3,0,2,511.2
9,2,28812,93,17,7,0,8,425.527834
10,0,0,67,23,5,0,3,482.4
11,0,0,110,27,87,0,3,528.0
12,0,77026,110,9,82,2,3,472.029737
13,2,99845,110,23,25,1,8,528.0
14,2,83689,70,21,10,2,8,307.139132
15,0,24599,64,12,50,1,2,42.920271
16,0,25049,67,14,7,0,1,454.245098
17,0,28855,101,12,59,0,1,647.442031
18,2,51148,72,9,1,0,7,308.981664
19,0,66140,101,11,21,0,3,484.8
20,0,57749,74,31,21,0,1,355.2
21,0,13789,79,8,49,0,1,379.2
22,0,14072,71,13,3,0,2,511.2
23,0,0,73,4,44,3,1,554.376763
24,0,17870,61,30,91,0,1,439.2
25,0,97541,72,22,1,0,3,389.185006
26,0,0,111,15,47,0,1,799.2
27,0,10511,139,33,64,0,1,516.237951
28,0,86584,111,33,54,2,2,532.8
29,0,75690,80,17,44,1,1,384.0
30,0,23158,63,4,6,1,1,322.294043
31,2,65999,237,1,14,0,6,615.927769
32,0,0,65,19,56,0,3,308.15089
33,2,54500,63,28,17,0,6,302.4
34,2,37260,62,19,42,0,8,15.437681
35,0,68987,71,11,40,0,6,204.475147
36,0,42305,117,10,62,0,2,561.6
37,2,65706,91,19,86,0,8,436.8
38,0,0,90,7,79,0,1,648.0
39,0,53243,66,4,15,2,1,157.397849
40,0,0,70,7,1,1,1,484.318536
41,0,50071,71,3,32,0,1,18.918935
42,0,60021,99,12,28,0,1,882.871945
43,0,43244,103,15,16,0,2,494.4
44,0,92834,61,15,56,0,1,292.8
45,0,10105,172,5,4,3,3,0.517753
46,0,0,73,7,57,3,5,579.165954
47,2,23218,71,7,10,0,4,447.79344
48,0,0,92,11,77,0,1,529.624084
49,0,0,62,11,56,0,1,313.023175
50,0,24804,104,1,28,0,2,593.830288
51,0,33190,106,18,95,0,2,508.8
52,0,36014,69,4,40,3,2,173.956072
53,0,29834,64,19,44,0,3,307.2
54,0,16701,113,20,26,0,1,831.625979
55,0,46623,91,1,53,0,3,436.8
56,0,64749,64,24,59,0,2,302.56519
57,0,0,101,29,12,0,1,484.8
58,0,16969,124,34,47,2,1,704.768111
59,0,11621,108,4,98,0,1,518.4
60,0,17622,65,1,36,1,3,312.0
61,2,11489,105,4,50,0,6,504.0
62,0,0,94,20,53,0,1,863.327324
63,0,66525,100,0,86,0,2,104.331355
64,0,0,63,21,28,0,2,676.391482
65,0,33663,73,29,71,0,1,350.4
66,0,22547,112,7,60,0,3,537.6
67,0,61486,97,5,65,0,2,465.258644
68,2,0,95,13,20,0,5,456.0
69,0,29879,102,17,0,0,2,500.254235
70,0,93011,113,17,12,0,2,281.451042
71,0,65186,65,29,27,0,1,5.434505
72,0,26840,64,1,47,2,1,307.2
73,2,0,104,30,3,1,5,982.399613
74,2,75644,65,5,68,3,9,467.803638
75,0,38984,73,27,38,0,2,350.4
76,0,71811,71,17,48,0,6,29.03416
77,0,20961,67,20,33,0,2,321.6
78,0,38923,99,6,83,2,2,115.728852
79,0,61321,186,0,30,1,2,427.63121
80,0,0,77,20,26,0,2,25.807685
81,2,51066,74,23,0,0,8,787.993313
82,0,34378,102,12,54,0,1,489.6
83,0,43072,63,35,15,0,1,302.4
84,0,25222,90,28,69,0,3,475.623251
85,0,36765,66,15,32,1,2,320.849072
86,0,23091,96,28,90,5,5,460.8
87,0,48269,69,3,79,3,1,282.151207
88,0,32720,67,13,12,0,1,321.6
89,0,20396,76,15,60,1,4,364.8
90,0,21513,119,21,81,1,2,679.827592
91,0,72540,88,7,3,0,2,631.743039
92,0,80744,63,24,84,0,1,11.879037
93,0,52822,67,23,88,0,1,350.529033
94,2,0,77,8,10,1,9,863.3947
95,0,69738,74,2,26,1,2,492.127532
96,2,17780,109,12,18,0,9,132.588288
97,2,18107,62,29,11,0,8,297.6
98,2,57740,74,30,87,3,9,269.905129
99,2,32627,76,11,60,0,7,380.036697
100,0,0,107,3,65,0,3,513.6
101,0,0,70,24,10,0,1,425.266308
102,0,65795,62,2,85,1,3,49.011099
103,0,60475,107,9,18,0,1,513.6
104,0,0,130,28,88,0,4,936.0
105,2,41837,88,29,93,0,9,142.062768
106,0,32303,65,13,34,0,2,45.152521
107,0,0,117,5,89,1,3,561.6
108,2,40531,74,17,32,0,9,30.567357
109,0,79898,62,5,86,1,1,271.606799
110,2,56398,85,4,18,0,7,408.0
111,2,35257,98,16,2,1,8,470.4
112,2,27804,109,19,54,0,7,784.8
113,0,45506,66,16,32,2,2,316.8
114,0,65196,67,0,54,0,2,396.082036
115,0,0,102,11,70,1,3,489.6
116,0,20993,133,35,90,0,1,638.4
117,2,37839,86,35,77,0,9,465.633954
118,0,92711,62,24,10,0,1,368.400146
119,0,74665,78,10,90,2,1,236.902001
120,0,0,83,26,89,0,1,582.679087
121,2,46833,112,6,3,0,9,64.109663
122,2,88768,68,17,77,0,7,326.4
123,0,28262,192,9,77,0,3,921.6
